"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-07-21,202,27.566875,31.21,23.85,0.2,71.7647916666667,"Inverno"
2009-07-22,203,28.101875,32.16,24.39,0,65.8272916666667,"Inverno"
2009-07-23,204,27.7308333333333,31.68,24.25,0,66.8427083333333,"Inverno"
2009-07-24,205,27.279375,31.83,23.87,19.4,72.5204166666667,"Inverno"
2009-07-25,206,25.7835416666667,30.56,23.2,8.4,81.9247916666667,"Inverno"
2009-07-26,207,26.3227083333333,30.85,23.1,1.4,80.5972916666667,"Inverno"
2009-07-27,208,26.819375,31.55,22.88,0,75.16875,"Inverno"
2009-07-28,209,28.1195833333333,31.94,22.9,0.2,67.06625,"Inverno"
2009-07-29,210,28.2808333333333,32.05,24.47,0,64.5722916666667,"Inverno"
2009-07-30,211,27.1266666666667,32.01,24.8,2.6,72.276875,"Inverno"
2009-07-31,212,25.3558333333333,31.61,22.47,19.8,83.3504166666667,"Inverno"
2009-08-01,213,26.7783333333333,31.76,21.55,0.2,75.4120833333333,"Inverno"
2009-08-02,214,28.1772916666667,32.37,24,0,63.4610416666667,"Inverno"
2009-08-03,215,27.9795833333333,31.94,24.42,0,64.6491666666667,"Inverno"
2009-08-04,216,28.468125,32.58,24.53,0,65.279375,"Inverno"
2009-08-05,217,28.1664583333333,32.58,24.49,0,66.8285416666667,"Inverno"
2009-08-06,218,28.0479166666667,32.11,24.35,0,63.2191666666667,"Inverno"
2009-08-07,219,27.7177083333333,32.7,24.4,3.6,64.8860416666667,"Inverno"
2009-08-08,220,28.8435416666667,32.81,24.69,0,62.2789583333333,"Inverno"
2009-08-09,221,27.9245714285714,NA,NA,0,73.3116666666667,"Inverno"
2009-08-10,222,25.9295744680851,NA,NA,0,79.3672916666667,"Inverno"
2009-08-11,223,25.3210416666667,30.8,23.04,20,81.838125,"Inverno"
2009-08-12,224,26.8522916666667,32.3,22.77,0,74.7947916666667,"Inverno"
2009-08-13,225,28.4214583333333,33.03,24.03,0,65.3789583333333,"Inverno"
2009-08-14,226,28.0825,32.78,24.33,11,67.8889583333333,"Inverno"
2009-08-15,227,27.5979166666667,32.12,23.72,1.6,72.8635416666667,"Inverno"
2009-08-16,228,27.4454166666667,31.59,24.03,0,75.5129166666667,"Inverno"
2009-08-17,229,28.9197916666667,32.89,24.95,0,65.64625,"Inverno"
2009-08-18,230,29.3075,33.77,25.41,0,62.1225,"Inverno"
2009-08-19,231,29.5008333333333,34.22,24.48,0,58.6610416666667,"Inverno"
2009-08-20,232,29.370625,33.83,25.04,0,59.7027083333333,"Inverno"
2009-08-21,233,29.494375,34.24,24.58,0,56.178125,"Inverno"
2009-08-22,234,29.6847916666667,34.84,24.86,0,56.4852083333333,"Inverno"
